City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
184,Tabuk,PH,71.62,scattered clouds,17.4189,121.4443,
186,The Valley,AI,84.2,few clouds,18.217,-63.0578,
187,San Quintin,MX,67.39,scattered clouds,30.4833,-115.95,
192,Yang Talat,TH,79.0,overcast clouds,16.3998,103.3679,
194,Chuy,UY,68.68,few clouds,-33.6971,-53.4616,
196,Hamilton,US,73.4,clear sky,39.1834,-84.5333,
198,Lagunas,PE,72.19,overcast clouds,-5.2269,-75.6753,
200,Sao Filipe,CV,73.38,clear sky,14.8961,-24.4956,
206,Toumodi,CI,80.6,few clouds,6.5613,-5.0158,
209,Lorengau,PG,80.96,overcast clouds,-2.0226,147.2712,
211,Rio Grande,BR,73.0,clear sky,-32.035,-52.0986,
213,Bol,TD,81.81,few clouds,13.4586,14.7147,
216,Kirakira,SB,84.6,broken clouds,-10.4544,161.9205,
218,Champerico,GT,89.6,scattered clouds,14.3,-91.9167,
219,Almeirim,BR,76.68,moderate rain,-1.5233,-52.5817,
220,Tabou,CI,79.0,light rain,4.423,-7.3528,
225,Kokopo,PG,78.94,overcast clouds,-4.352,152.2633,
228,Buala,SB,83.23,light rain,-8.145,159.5921,
229,Palaia Fokaia,GR,66.2,few clouds,37.72,23.9463,
230,Hualmay,PE,73.67,scattered clouds,-11.0964,-77.6139,
231,Honavar,IN,76.82,few clouds,14.2833,74.45,
235,Kahului,US,75.2,light rain,20.8947,-156.47,
236,Mana,GF,78.06,light rain,5.6592,-53.7767,
238,Malpe,IN,82.4,scattered clouds,13.35,74.7167,
239,Carnarvon,AU,75.2,few clouds,-24.8667,113.6333,
242,San Ramon,US,66.99,clear sky,37.7799,-121.978,
243,Trincomalee,LK,77.95,overcast clouds,8.5711,81.2335,
247,Apatou,GF,75.27,overcast clouds,5.155,-54.3472,
248,Chicama,PE,73.4,few clouds,-7.8447,-79.1469,
249,Cabedelo,BR,80.6,scattered clouds,-6.9811,-34.8339,
252,Mayumba,GA,78.91,overcast clouds,-3.432,10.6554,
254,Uvalde,US,75.0,overcast clouds,29.3669,-99.76700000000001,
256,Ladario,BR,87.8,light rain,-19.0047,-57.6017,
258,Manggar,ID,79.47,overcast clouds,-2.8833,108.2667,
260,Canton,CN,72.0,overcast clouds,23.1167,113.25,
262,Havelock,US,66.99,clear sky,34.8791,-76.9013,
265,San Pedro De Macoris,DO,78.01,broken clouds,18.4616,-69.2972,
266,Gilbues,BR,80.73,broken clouds,-9.8317,-45.3439,
268,Lazaro Cardenas,MX,83.84,broken clouds,17.9583,-102.2,
269,Carroll,US,71.6,clear sky,39.5501,-77.0164,
271,Marsh Harbour,BS,67.6,overcast clouds,26.5412,-77.0636,
272,Port Elizabeth,ZA,66.2,overcast clouds,-33.918,25.5701,
273,Kilakarai,IN,82.4,scattered clouds,9.2333,78.7833,
274,Dumjor,IN,75.2,haze,22.6408,88.2203,
275,Rinconada,MX,81.0,few clouds,19.35,-96.5167,
278,Diffa,NE,81.36,clear sky,13.3154,12.6113,
283,Hambantota,LK,69.8,clear sky,6.1241,81.1185,
284,San Angelo,US,68.0,overcast clouds,31.4638,-100.43700000000001,
285,Cururupu,BR,76.08,overcast clouds,-1.8283,-44.8683,
289,Xenia,US,72.0,clear sky,39.6848,-83.9296,
290,Tangwani,PK,78.8,haze,28.2787,68.9972,
292,Otavalo,EC,68.0,moderate rain,0.2333,-78.2667,
296,Beira,MZ,75.2,light rain,-19.8436,34.8389,
297,Antofagasta,CL,69.8,clear sky,-23.65,-70.4,
298,Bull Savanna,JM,77.83,broken clouds,17.8868,-77.5902,
299,East London,ZA,66.74,clear sky,-33.0153,27.9116,
300,Gwadar,PK,79.66,clear sky,25.1216,62.3254,
301,Gorontalo,ID,75.47,overcast clouds,0.5412,123.0595,
303,Pozo Colorado,PY,82.8,overcast clouds,-23.4923,-58.7972,
304,Destin,US,70.0,clear sky,30.3935,-86.4958,
309,Manali,IN,82.4,mist,13.1667,80.2667,
310,Eyl,SO,79.72,few clouds,7.9803,49.8164,
311,Kloulklubed,PW,77.0,broken clouds,7.0419,134.2556,
314,Denpasar,ID,77.0,few clouds,-8.65,115.2167,
315,Lapao,BR,79.03,clear sky,-11.3833,-41.8319,
317,Kanniyakumari,IN,79.27,clear sky,8.0833,77.5667,
319,Ixtapa,MX,80.6,clear sky,20.7,-105.2,
320,Sur,OM,83.62,clear sky,22.5667,59.5289,
322,Garowe,SO,75.69,scattered clouds,8.4054,48.4845,
323,Saint George,US,88.0,clear sky,37.1041,-113.5841,
324,Ukiah,US,68.0,clear sky,39.1502,-123.2078,
325,Luena,AO,66.4,broken clouds,-11.7833,19.9167,
327,Arauca,CO,93.18,light rain,7.0847,-70.7591,
328,Khudumelapye,BW,69.35,clear sky,-23.8833,24.75,
330,Jijiga,ET,69.57,broken clouds,9.35,42.8,
331,Moron,AR,73.0,clear sky,-34.6534,-58.6198,
335,Mount Isa,AU,71.6,broken clouds,-20.7333,139.5,
336,Hervey Bay,AU,73.0,overcast clouds,-25.2986,152.8535,
337,Tura,IN,68.16,broken clouds,25.5198,90.2201,
341,Caravelas,BR,77.25,broken clouds,-17.7125,-39.2481,
343,Necochea,AR,73.0,few clouds,-38.5473,-58.7368,
344,Belem De Sao Francisco,BR,84.61,scattered clouds,-8.7539,-38.9658,
346,Gaoua,BF,92.48,scattered clouds,10.2992,-3.2508,
352,Alfredo Baquerizo Moreno,EC,80.6,moderate rain,-1.9167,-79.5167,
355,Mangochi,MW,68.9,few clouds,-14.4782,35.2645,
356,Djambala,CG,70.65,light rain,-2.5447,14.7533,
357,Novo Aripuana,BR,80.62,overcast clouds,-5.1206,-60.3797,
360,Rameswaram,IN,83.57,scattered clouds,9.2833,79.3,
361,Nueva Rosita,MX,73.99,overcast clouds,27.95,-101.2167,
365,Nouadhibou,MR,66.2,broken clouds,20.930999999999997,-17.0347,
369,Marawi,PH,67.17,overcast clouds,7.9986,124.2928,
370,Greenwood,US,73.99,clear sky,34.1668,-82.1165,
371,Alvorada,BR,80.33,few clouds,-12.48,-49.1247,
372,Meulaboh,ID,76.24,overcast clouds,4.1363,96.1285,
373,Murindo,CO,80.65,overcast clouds,6.9848,-76.7544,
374,Miraflores,MX,78.8,few clouds,19.2167,-98.8083,
375,Victoria,HK,72.0,overcast clouds,22.2855,114.1577,
379,Kutum,SD,70.3,few clouds,14.2,24.6667,
381,Acajutla,SV,89.6,clear sky,13.5928,-89.8275,
382,Tual,ID,83.57,broken clouds,-5.6667,132.75,
383,Gunjur,GM,69.8,clear sky,13.2019,-16.7339,
384,Vila Velha,BR,78.8,scattered clouds,-20.3297,-40.2925,
385,Hun,LY,76.5,overcast clouds,29.1268,15.9477,
390,Parnamirim,BR,82.4,few clouds,-5.9156,-35.2628,
392,Itaituba,BR,79.66,light rain,-4.2761,-55.9836,
393,Ridgecrest,US,91.4,clear sky,35.6225,-117.6709,
394,Bowling Green,US,71.6,clear sky,36.9903,-86.4436,
396,Marsa Matruh,EG,66.2,clear sky,31.3525,27.2453,
400,Quatre Cocos,MU,81.0,light rain,-20.2078,57.7625,
401,Camopi,GF,74.61,light rain,3.1655,-52.3158,
402,Sola,VU,78.8,overcast clouds,-13.8833,167.55,
404,Hobyo,SO,82.24,broken clouds,5.3505,48.5268,
407,Alyangula,AU,79.59,scattered clouds,-13.8483,136.4192,
408,Filadelfia,US,68.0,few clouds,39.9523,-75.1638,
411,Yarada,IN,80.19,scattered clouds,17.65,83.2667,
412,Ballina,AU,68.0,broken clouds,-28.8667,153.5667,
416,San Vicente,AR,71.47,overcast clouds,-26.6167,-54.1333,
417,Kang,BW,72.86,clear sky,-23.6752,22.7876,
420,Wamba,NG,81.9,few clouds,8.9333,8.6,
422,Duku,NG,86.61,scattered clouds,11.2361,4.9073,
424,Chake Chake,TZ,79.75,broken clouds,-5.2459,39.7666,
425,Mundo Nuevo,MX,75.96,clear sky,18.7,-95.5,
427,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,
431,Nouakchott,MR,75.2,broken clouds,18.0858,-15.9785,
433,Zwedru,LR,73.9,light rain,6.0667,-8.1281,
435,Qui Nhon,VN,73.99,broken clouds,13.7667,109.2333,
437,Odweyne,SO,76.62,broken clouds,9.4092,45.06399999999999,
438,Maragogi,BR,79.36,few clouds,-9.0122,-35.2225,
440,Sanghar,PK,77.0,haze,26.0466,68.9481,
442,George Town,MY,82.99,few clouds,5.4112,100.3354,
447,Bandarbeyla,SO,77.92,scattered clouds,9.4942,50.8122,
449,San Rafael,AR,77.43,light rain,-34.6177,-68.3301,
452,San Cristobal,VE,80.6,scattered clouds,7.7669,-72.225,
453,Plettenberg Bay,ZA,66.72,overcast clouds,-34.0527,23.3716,
454,Roebourne,AU,80.74,clear sky,-20.7833,117.1333,
455,Monrovia,LR,80.6,scattered clouds,6.3005,-10.7969,
456,Socorro,US,86.0,scattered clouds,31.6546,-106.3033,
458,Sabla,NG,84.97,clear sky,12.7525,4.7077,
459,Dzilam Gonzalez,MX,77.86,broken clouds,21.2833,-88.9333,
465,West Bay,KY,80.6,broken clouds,19.3667,-81.4167,
466,Kantang,TH,77.92,overcast clouds,7.4054,99.5156,
467,Oskaloosa,US,82.4,clear sky,41.2964,-92.6444,
470,Salinopolis,BR,78.84,light rain,-0.6136,-47.3561,
471,Seminole,US,75.0,broken clouds,28.7086,-81.2081,
472,Celestun,MX,79.09,few clouds,20.8667,-90.4,
473,Sao Joao Da Barra,BR,78.8,broken clouds,-21.6403,-41.0511,
474,Roswell,US,72.0,clear sky,34.0232,-84.3616,
476,Cap Malheureux,MU,81.0,clear sky,-19.9842,57.6142,
478,Duayaw Nkwanta,GH,75.88,light rain,7.1724,-2.1028,
480,Touros,BR,78.8,few clouds,-5.1989,-35.4608,
483,Florianopolis,BR,78.01,scattered clouds,-27.6146,-48.5012,
485,Joao Camara,BR,78.8,few clouds,-5.5375,-35.8197,
487,Acari,PE,77.92,overcast clouds,-15.4311,-74.6158,
488,Japura,ID,74.55,overcast clouds,-0.3167,102.35,
489,Chichli,IN,78.73,clear sky,22.8333,78.8167,
493,Wanning,CN,74.3,clear sky,18.8003,110.3967,
494,Brufut,GM,69.8,clear sky,13.3814,-16.7518,
496,Ouesso,CG,75.94,broken clouds,1.6136,16.0517,
499,Jiwani,PK,80.2,clear sky,25.05,61.7417,
500,Allapalli,IN,82.76,clear sky,19.4167,80.0667,
509,Neiafu,TO,80.6,broken clouds,-18.65,-173.9833,
510,Budhlada,IN,74.97,broken clouds,29.9333,75.5667,
512,Oum Hadjer,TD,85.06,broken clouds,13.2954,19.6966,
514,Lindi,TZ,77.0,few clouds,-10.0,39.7167,
517,Port Macquarie,AU,68.0,overcast clouds,-31.4333,152.9167,
518,Mayo,US,69.8,clear sky,38.8876,-76.5119,
519,San Pedro,PH,81.0,few clouds,14.35,121.0167,
520,Nha Trang,VN,77.0,few clouds,12.25,109.1833,
521,Minab,IR,77.0,haze,27.1467,57.0801,
522,Prado,BR,76.33,broken clouds,-17.3411,-39.2208,
528,Tezu,IN,67.84,few clouds,27.9167,96.1667,
531,San Policarpo,PH,81.27,overcast clouds,12.1791,125.5072,
532,Puerto Del Rosario,ES,66.2,few clouds,28.5004,-13.8627,
536,Puerto Escondido,MX,86.0,clear sky,15.85,-97.0667,
537,Luquillo,PR,80.6,clear sky,18.3725,-65.7166,
539,Fuerte Olimpo,PY,89.4,broken clouds,-21.0415,-57.8738,
550,Samarai,PG,83.21,broken clouds,-10.6167,150.6667,
551,Jizan,SA,82.4,clear sky,17.3333,42.6667,
555,Belmonte,BR,75.2,light rain,-15.8631,-38.8828,
557,Antalaha,MG,75.13,broken clouds,-14.9003,50.2788,
562,Langsa,ID,74.07,overcast clouds,4.4683,97.9683,
564,Nampula,MZ,71.6,moderate rain,-15.1165,39.2666,
565,Kavaratti,IN,81.99,scattered clouds,10.5669,72.642,
567,Arica,CL,68.0,clear sky,-18.475,-70.3042,
569,Sawakin,SD,74.35,scattered clouds,19.1059,37.3321,
570,Pinheiro Machado,BR,70.0,few clouds,-31.5783,-53.3811,
581,Montepuez,MZ,68.09,broken clouds,-13.1256,38.9997,
582,Saint Anthony,US,77.0,clear sky,45.0205,-93.21799999999999,
584,Wajid,SO,78.22,broken clouds,3.8093,43.2471,
586,Waipawa,NZ,66.2,few clouds,-41.4122,175.5153,
587,Marshfield,US,75.2,clear sky,44.6689,-90.1718,
589,Jasper,US,75.2,clear sky,37.2001,-94.3502,
591,Itarema,BR,79.03,overcast clouds,-2.9248,-39.9167,
592,Soyo,AO,80.26,overcast clouds,-6.1349,12.3689,
593,Placido De Castro,BR,77.22,scattered clouds,-10.3353,-67.1856,
595,Lake City,US,73.4,clear sky,30.1897,-82.6393,
596,Tchollire,CM,83.88,scattered clouds,8.4022,14.1698,
597,Charagua,BO,77.0,broken clouds,-19.8,-63.2167,
598,Ewa Beach,US,80.6,clear sky,21.3156,-158.0072,
599,Umm Kaddadah,SD,74.79,scattered clouds,13.6017,26.6876,
605,Manoel Urbano,BR,80.6,light rain,-8.8389,-69.2597,
606,Nishihara,JP,66.2,broken clouds,26.1842,127.7558,
608,Darnah,LY,73.31,clear sky,32.766999999999996,22.6367,
610,Funadhoo,MV,83.48,scattered clouds,6.15,73.2667,
611,Nacozari,MX,85.78,clear sky,25.3366,-108.2574,
612,Ambilobe,MG,73.58,broken clouds,-13.2,49.05,
613,Sterling,US,71.6,clear sky,39.0062,-77.4286,
