City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Talnakh,RU,69.4865,88.3972,4.35,71,100,11.56,overcast clouds
80,Gat,IL,31.61,34.7642,57.99,82,0,5.84,clear sky
81,Mahebourg,MU,-20.4081,57.7,81.0,77,37,8.01,scattered clouds
82,Pitsunda,GE,43.1592,40.3378,51.8,93,90,6.71,overcast clouds
83,Guerrero Negro,MX,27.9769,-114.0611,68.9,58,1,18.1,clear sky
84,Avera,US,33.194,-82.5271,73.4,20,1,5.75,clear sky
85,Padang,ID,-0.9492,100.3543,73.4,94,75,2.3,broken clouds
86,Busselton,AU,-33.65,115.3333,60.01,93,5,1.19,clear sky
87,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,0,4.61,clear sky
88,Bambous Virieux,MU,-20.3428,57.7575,81.0,77,42,8.01,scattered clouds
89,Tongren,CN,27.7172,109.1853,48.88,94,100,3.42,moderate rain
90,Klaksvik,FO,62.2266,-6.589,24.8,58,40,40.29,light snow
91,Ponta Do Sol,PT,32.6667,-17.1,57.0,61,79,3.0,broken clouds
92,Mecca,SA,21.4267,39.8261,76.75,38,100,5.44,overcast clouds
93,Muskogee,US,35.5834,-95.3336,73.0,53,20,13.8,few clouds
94,Chemal,RU,51.4111,86.005,32.92,75,3,5.5,clear sky
95,Loandjili,CG,-4.7561,11.8578,80.6,89,20,1.14,few clouds
96,Pafos,CY,34.7667,32.4167,52.0,87,0,5.75,clear sky
97,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,94,40,6.91,scattered clouds
98,Vicente Guerrero,MX,19.1194,-98.1708,78.8,9,1,11.5,clear sky
99,Fairbanks,US,64.8378,-147.7164,34.0,80,75,14.97,snow
100,Portland,US,45.5234,-122.6762,57.0,41,75,9.22,broken clouds
101,Salalah,OM,17.0151,54.0924,80.6,78,0,4.61,clear sky
102,Sao Felix Do Xingu,BR,-6.6447,-51.995,76.15,91,42,2.55,light rain
103,Paderborn,DE,51.7191,8.7544,39.0,82,68,1.01,broken clouds
104,Tambun,ID,-6.2641,107.0712,82.0,89,20,3.62,haze
105,George,ZA,-33.963,22.4617,65.64,87,97,3.42,light rain
106,Pisco,PE,-13.7,-76.2167,77.0,65,0,11.5,clear sky
107,Dhrol,IN,22.5667,70.4167,79.03,61,0,9.78,clear sky
108,Faya,SA,18.3851,42.4509,64.4,36,0,4.56,clear sky
109,Longyearbyen,SJ,78.2186,15.6401,24.8,63,75,26.46,broken clouds
110,Aklavik,CA,68.2191,-135.0107,14.0,67,100,5.75,overcast clouds
111,Geraldton,AU,-28.7667,114.6,68.0,88,54,5.75,broken clouds
112,Kijang,KR,35.2442,129.2139,42.8,65,0,6.91,clear sky
113,Mar Del Plata,AR,-38.0023,-57.5575,69.01,94,0,14.97,clear sky
114,Dicabisagan,PH,17.0818,122.4157,75.33,87,19,6.26,few clouds
115,Shenxian,CN,36.2411,115.6672,44.6,45,73,7.4,broken clouds
116,Hovd,MN,48.0056,91.6419,30.31,24,12,1.83,few clouds
117,Mataura,NZ,-46.1927,168.8643,54.0,83,99,15.99,overcast clouds
118,Hangu,CN,39.2489,117.7892,44.6,76,72,4.47,broken clouds
119,Catamarca,AR,-28.4696,-65.7852,75.99,80,18,5.01,few clouds
120,Cabo San Lucas,MX,22.8909,-109.9124,91.4,19,1,24.16,clear sky
